logp,mol_weight,hba,heavy_atoms,hbd,rotatable_bonds,smiles,tpsa,drug_like
4.18,505.46,10.0,34.0,4.0,9.0,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,167.58,1
,1106.25,,79.0,,29.0,CC(=O)O.CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O,443.64,1
0.6898000000000031,513.5510000000003,7.0,37.0,7.0,13.0,CC(=O)NC(CCCCN)C(=O)NC1=CC(=C(C=C1)C(=O)NC(CC(=O)N)C(=O)O)C2=CC(=CC=C2)O,213.94,0
4.43,500.58,1.0,34.0,6.0,4.0,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,80.67,1
0.94,515.52,5.0,35.0,7.0,7.0,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12.O.[Na+],190.6,1
2.44,424.53,4.0,30.0,6.0,10.0,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,124.29,1
4.63,527.4,1.0,37.0,7.0,8.0,O[C@@](Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(-c2ccc(OCC(F)(F)F)cc2)cn1,85.95,1
2.66,285.31,0.0,22.0,5.0,3.0,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,78.29,1
5.36,615.68,2.0,40.0,7.0,5.0,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1.CS(=O)(=O)O,165.23,1
5.38,527.66,1.0,38.0,4.0,12.0,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1.O=C(O)/C=C/C(=O)O,124.37000000000002,1
2.43,483.96,3.0,34.0,9.0,9.0,COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,125.39,1
-1.61,456.35,6.0,31.0,10.0,7.0,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,208.09,1
1.99,265.35,2.0,19.0,4.0,9.0,C=CCOc1ccccc1OCC(O)CNC(C)C,50.72,1
,42.09,,1.0,,0.0,[Ca+2].[H-].[H-],0.0,1
-1.24,496.9,7.0,34.0,10.0,2.0,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.Cl,201.85,1
