smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,drug_like
COC1=C(C=C(C=C1)OC2=CC3=C(C=C2)OC4(C(CC(=NOCC5=CC=C(C=C5)[N+](=O)[O-])C6=CC(C(C3C64)CCCCO)CCCCO)N(CC7=CC=C(C=C7)F)C(=O)OC)OCC=C)C=O,922.0159999999996,9.449700000000004,2,13,188.71999999999997,22,67,0
CCCCOC1=CC=CC(=C1)C2C(=C(C3=C(N4C=CC=C(C4=N3)C)C)O)C(=O)C(=O)N2C5=NC(=C(S5)C(=O)OCC)C,588.6860000000001,5.6979600000000055,1,10,123.33,9,42,0
COC1=C(C=C(C=C1)C2=NN=C(N2C3=CC=CC=C3)SCC(=O)NC4=CC=CC=C4C(F)(F)F)OC,514.5290000000001,5.701100000000004,1,7,78.27000000000001,8,36,0
CC1C(OC(OC1C2=CC=C(C=C2)CO)C3=CC=C(C=C3)C4=CC=CC(=C4)CNC(=O)NC5=CC=C(C=C5)OC6=CC=CC=C6)CN7CC8(CC7CC(C8)(C)C)C,765.9949999999997,10.651899999999992,3,6,92.28999999999999,11,57,0
CC1=C(C=CC2=C1N=C(C=C2C(=O)OCC(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-])C4=CC=C(C=C4)N5C(=O)C6CC(C(CC6C5=O)Br)Br)Cl,804.2750000000001,7.891320000000006,0,8,136.78,7,47,0
CCCCOC1=C(C=C(C=C1)C2C(=C(C3=CC=C(C=C3)C)O)C(=O)C(=O)N2C4=NC5=C(S4)C=C(C=C5)Cl)OCC,577.1020000000002,7.462020000000006,1,7,88.96000000000001,9,40,0
C=CCN(CC(=O)N1CCCCC1C2=NC(=NO2)C3=CC=C(C=C3)Br)C(=O)C4=CC=CC5=CC=CC=C54,559.4640000000002,6.034300000000005,0,5,79.54,7,37,0
CC(C)CC(C(=O)NCC(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)O)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CCCN=C(N)N)N,913.0429999999998,-1.1542999999999957,13,12,380.07999999999987,28,65,0
CCCCCC1(OC2C=C(CC(C2O1)OC(=O)C3=CC=C(C=C3)C=CC4CCC5C(C4)O5)C(=O)NCC6=CC(=CC=C6)C(=O)NC(CCC(=O)OC(C)(C)C)CO)CCCCC,857.0979999999997,8.292700000000009,3,10,162.01999999999998,21,62,0
CCCN(CC1(CCC2C1(CCC3C24C=CC5(C3(CCC(C5)O)C)C=C4C(=O)C6=CC=CO6)C)O)C(=O)NC(C)C7=CC=CC=C7,626.8380000000003,7.23620000000001,3,5,103.00999999999999,8,46,0
C1=CC=C(C=C1)C(=O)NC(=CC2=CC=C(C=C2)Cl)[P+](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5,519.0040000000001,7.062500000000008,1,1,29.1,7,37,0
CCCCCOC1=CC=C(C=C1)C2C(=C(C3=CC(=CC=C3)OCC)O)C(=O)C(=O)N2C4=NC5=C(C=C(C=C5S4)C)C,570.7110000000002,7.507140000000008,1,7,88.96,10,41,0
COC1=C(C=CC(=C1)C(=O)NN=CC2=CC=C(O2)C3=C(C=CC(=C3)[N+](=O)[O-])Cl)OCC4=CC(=CC=C4)F,523.9040000000002,5.998800000000005,1,7,116.2,9,37,0
C1CCC(CC1)N2C(=O)C(=C3C4=C(C(=CC(=C4)Br)Br)NC3=O)SC2=S,502.25300000000004,5.067800000000003,1,4,49.410000000000004,1,25,0
CC(C)CNC(=O)C1=C(C=CC(=C1)NC(=O)C2=CC(=C(C=C2)Cl)Cl)N3CCN(CC3)C4=CC=CC=C4OC,555.5060000000002,5.966700000000005,2,5,73.91000000000001,8,38,0
CC1C(OC(OC1C2=CC=C(C=C2)CO)C3=CC=CC(=C3)C4=CC=CC(=C4)CNC(=O)C(CC5=CC=CC=C5)NS(=O)(=O)C6=CC=C(C=C6)C)CSC7=CC=CC=C7,813.0540000000002,8.944020000000004,3,7,113.95999999999998,15,58,0
CC1=CC=CC=C1COC2=C(C3=C(C=C2)C(=C(C(=O)O3)CCC(=O)N4CCC5(CCCCC5C4)O)C)C,503.6390000000005,5.383460000000007,1,5,79.98,6,37,0
CC1=CC(=CC=C1)C(=O)OC2=C(C=C(C=C2Br)Br)C=NNC(=O)C3=CC4=C(C=C3)OCCO4,574.225,5.274320000000004,1,6,86.22,5,33,0
C1=CC=C(C=C1)C2=NN=C(N2C3=CC=C(C=C3)Br)SCC(=O)NN=CC4=C(C=CC(=C4)[N+](=O)[O-])Cl,571.8440000000002,5.5008000000000035,1,8,115.31,8,35,0
CC(=C1C=CC=CC1=O)NCCCNC(=C2C=CC=CC2=O)C.CC(=C1C=CC=CC1=O)NCCCNC(=C2C=CC=CC2=O)C.OCl(=O)(=O)=O.OCl(=O)(=O)=O.[Cu].[Cu].[Cu],1012.3460000000006,-3.2676999999999934,6,16,295.21999999999997,12,59,0
CC(C)(C)OC(=O)CCC(CO)NC(=O)C12CC3C4C(C1ON(C2C(=O)O3)CC5=CC(=CC=C5)C=CCC6=CC=CC=C6O)OC(O4)(C7CC7)C8CC8,730.855,4.347300000000004,3,11,153.08999999999997,13,53,0
CC1=CC=C(C=C1)S(=O)(=O)NC(CC2=CC=CC=C2)C(=O)NC3=CC=C(C=C3)C4OC(CC(O4)C5=CC=C(C=C5)CO)CN6CCCC6CN7CCCC7,752.9779999999995,6.121220000000006,3,8,120.44,14,54,0
CC(C(=O)NCC1=CC(=CC=C1)C2=CC=C(C=C2)C3OC(CC(O3)C4=CC=C(C=C4)CO)CN(C)CC5=CC=CC=C5)OC(=O)C,622.7620000000004,6.091100000000007,2,7,97.33000000000001,12,46,0
